GRD_ID,totalpop_1km,dnk_1km,immigrants_1km,eu_immigrants_1km,noneu_immigrants_1km
"4470000","408","355","35","16","19"
"4471000","1361","1118","160","45","115"
"4472000","4668","3812","623","206","417"
"4473000","825","745","54","15","39"
"4474000","1296","1186","80","41","39"
"4475000","1074","979","70","21","49"
"4476000","4747","4043","547","173","374"
"4477000","6489","4402","1458","453","1005"
"4478000","5295","3421","1340","461","879"
"4479000","6881","5204","1340","685","655"
"4480000","7864","4896","2135","649","1486"
"4481000","5467","3603","1588","973","615"
"4482000","2850","2388","374","166","208"
"4483000","45","31","9","4","5"
"4484000","11340","7056","3035","978","2057"
"4485000","14695","12072","2112","1071","1041"
"4486000","4905","4291","519","296","223"
"4487000","411","338","67","36","31"
"4457000","66","64","2","2","0"
"4458000","26","26","0","0","0"
"4460000","41","31","7","2","5"
"4461000","45","44","0","0","0"
"4462000","27","21","6","6","0"
"4463000","23","19","4","1","3"
"4464000","58","41","15","8","7"
"4465000","23","22","0","0","0"
"4466000","5","5","0","0","0"
"4467000","1760","1586","98","31","67"
"4468000","2657","1709","547","93","454"
"4469000","3586","2200","821","57","764"
"4470000","2428","1601","557","90","467"
"4471000","3724","2815","642","160","482"
"4472000","4522","3458","779","260","519"
"4473000","1644","1202","269","53","216"
"4474000","6464","4552","1189","262","927"
"4475000","5447","3797","1151","341","810"
"4476000","3593","3119","377","158","219"
"4477000","5329","4198","860","306","554"
"4478000","9110","7109","1454","473","981"
"4479000","14975","12043","2320","1138","1182"
"4480000","4313","3250","776","297","479"
"4481000","13666","11232","1946","940","1006"
"4482000","4416","3284","971","576","395"
"4483000","9520","7976","1267","660","607"
"4484000","18347","13861","3333","1300","2033"
"4485000","20671","15706","3797","1614","2183"
"4486000","9283","7070","1869","1027","842"
"4493000","0","0","0","0","0"
"4457000","11","11","0","0","0"
"4458000","83","78","5","0","5"
"4459000","62","56","5","3","2"
"4460000","17","17","0","0","0"
"4461000","367","336","16","5","11"
"4462000","355","322","26","14","12"
"4463000","471","405","49","31","18"
"4464000","19","15","4","1","3"
"4465000","9","9","0","0","0"
"4466000","33","30","3","2","1"
"4467000","98","88","4","0","4"
"4468000","3253","2671","356","97","259"
"4469000","3697","2811","571","134","437"
"4470000","2693","2265","277","76","201"
"4471000","1155","878","204","40","164"
"4472000","2322","2133","145","40","105"
"4473000","468","394","47","7","40"
"4474000","1904","1469","288","100","188"
"4475000","6957","5012","1265","249","1016"
"4476000","3771","3214","414","148","266"
"4477000","5388","4498","715","325","390"
"4478000","8584","6474","1521","479","1042"
"4479000","4401","3829","476","262","214"
"4480000","11942","10185","1475","848","627"
"4481000","24167","19528","3838","2017","1821"
"4482000","5015","3770","1104","628","476"
"4483000","4295","3338","883","547","336"
"4484000","14060","10265","3199","1645","1554"
"4485000","1590","1206","291","156","135"
"4486000","21","16","4","4","0"
"4460000","34","34","0","0","0"
"4461000","188","159","19","7","12"
"4462000","326","291","24","17","7"
"4463000","126","115","11","9","2"
"4464000","19","12","7","7","0"
"4465000","268","250","16","6","10"
"4466000","17","16","1","1","0"
"4467000","88","77","6","2","4"
"4468000","1","1","0","0","0"
"4469000","101","98","3","2","1"
"4470000","253","235","14","5","9"
"4471000","212","191","13","0","13"
"4472000","2081","1760","192","44","148"
"4473000","1849","1495","186","30","156"
"4474000","2371","2215","111","34","77"
"4475000","4399","3461","641","132","509"
"4476000","2916","2353","360","87","273"
"4477000","11707","9128","1945","674","1271"
"4478000","11969","9289","2026","555","1471"
"4479000","13719","10842","2301","986","1315"
"4480000","16793","13845","2537","1293","1244"
"4481000","15270","12248","2399","1244","1155"
"4482000","10872","8374","2255","1363","892"
"4483000","8387","6369","1889","1195","694"
"4484000","4318","3339","879","538","341"
"4485000","1079","904","146","100","46"
"4461000","1","1","0","0","0"
"4462000","39","37","2","0","2"
"4463000","24","22","2","1","1"
"4464000","10","8","2","0","2"
"4465000","2","2","0","0","0"
"4467000","9","8","1","0","1"
"4468000","0","0","0","0","0"
"4469000","1","0","1","1","0"
"4470000","0","0","0","0","0"
"4471000","3","2","1","0","1"
"4472000","367","351","12","6","6"
"4474000","1624","1501","85","31","54"
"4475000","3575","2918","450","123","327"
"4476000","3619","3192","336","152","184"
"4477000","7751","6357","1127","512","615"
"4478000","7828","6443","1104","528","576"
"4479000","7452","6433","823","396","427"
"4480000","21395","16977","3404","1431","1973"
"4481000","20508","15300","3857","1761","2096"
"4482000","13443","11018","2036","1119","917"
"4483000","9934","7845","1933","1090","843"
"4484000","1458","1176","250","140","110"
"4485000","1459","1246","188","141","47"
"4462000","36","34","2","1","1"
"4463000","27","24","3","1","2"
"4464000","9","9","0","0","0"
"4468000","2","2","0","0","0"
"4470000","32","22","9","3","6"
"4471000","27","24","3","3","0"
"4472000","1261","1167","73","34","39"
"4473000","457","354","72","13","59"
"4474000","2189","1680","314","81","233"
"4475000","3760","3084","471","118","353"
"4476000","4432","3574","634","225","409"
"4477000","5716","5006","537","216","321"
"4478000","8387","6122","1496","440","1056"
"4479000","10228","7362","2155","773","1382"
"4480000","16948","12238","3507","1359","2148"
"4481000","22693","17016","4177","1562","2615"
"4482000","3418","2936","396","222","174"
"4483000","21210","17757","3024","1634","1390"
"4484000","1966","1453","460","225","235"
"4485000","21","16","5","4","1"
"4468000","153","116","27","6","21"
"4469000","2523","1771","469","84","385"
"4470000","124","112","11","4","7"
"4471000","2064","1925","105","42","63"
"4472000","1646","1522","87","40","47"
"4473000","122","94","19","6","13"
"4474000","2337","1981","250","74","176"
"4475000","3378","2237","821","247","574"
"4476000","6762","4167","1754","392","1362"
"4477000","5097","3804","1039","350","689"
"4478000","4780","3777","779","274","505"
"4479000","11901","6682","3489","909","2580"
"4480000","14955","9192","4169","1430","2739"
"4481000","11449","7335","2864","863","2001"
"4482000","16359","12523","3222","1521","1701"
"4483000","19301","16059","2750","1437","1313"
"4484000","2399","1814","518","298","220"
"4467000","487","437","25","3","22"
