GRD_ID,totalpop_1km,students_1km,mobile_adults_1km,elderly_1km,births_1km,deaths_1km,marriagesM_1km,marriagesF_1km,tert_education_1km,rich_new_1km,poor_new_1km
"4482000","5001","523","866","1201","28","71","28","27","3163","1563","473"
"4483000","4816","479","776","1053","35","93","27","27","3014","1879","378"
"4484000","705","62","106","203","8","5","3","4","398","312","107"
"4472000","1","0","0","1","0","0","0","0","0","0","0"
"4473000","2","0","0","1","0","0","0","0","2","2","0"
"4474000","290","19","41","47","2","1","0","0","224","180","13"
"4475000","66","2","7","22","1","0","0","0","41","44","2"
"4476000","1381","564","163","180","11","8","6","5","864","270","403"
"4477000","2693","333","511","592","19","25","14","13","1669","720","167"
"4478000","3989","687","773","900","33","38","22","21","2050","565","380"
"4479000","1374","130","240","280","8","11","11","7","689","327","130"
"4480000","340","20","44","55","1","2","0","0","254","225","10"
"4481000","519","36","67","85","4","2","1","1","365","363","34"
"4482000","775","55","108","139","6","1","4","3","600","586","56"
"4483000","2120","166","272","424","10","10","11","10","1390","1159","211"
"4484000","20","0","0","2","0","0","0","0","14","16","1"
"4474000","47","1","5","6","0","0","0","0","23","13","6"
"4475000","1573","68","292","226","18","6","7","8","1260","878","43"
"4476000","2610","213","392","727","21","79","10","9","1406","774","196"
"4477000","748","43","104","194","8","13","4","3","573","392","53"
"4478000","3589","706","643","664","35","33","23","21","1785","520","485"
"4479000","1810","850","170","277","7","47","5","3","906","34","689"
"4480000","690","32","121","128","10","1","3","3","514","464","35"
"4482000","6","1","1","1","0","0","0","0","1","0","3"
"4483000","640","38","87","202","6","3","2","3","396","277","64"
"4473000","12","1","0","3","0","0","0","0","6","4","0"
"4474000","1633","47","273","247","14","4","5","5","1336","1150","43"
"4475000","3584","222","636","516","28","48","13","11","2606","1690","121"
"4476000","4098","402","670","884","40","32","19","21","2654","1141","186"
"4477000","1356","63","227","239","9","4","8","7","968","575","44"
"4478000","2772","366","394","740","23","90","14","13","1683","780","230"
"4479000","1177","472","154","122","6","4","5","5","641","165","238"
"4480000","1422","95","240","305","7","10","5","5","1007","602","64"
"4483000","1229","83","123","335","9","9","6","6","741","564","123"
"4473000","167","5","33","27","2","0","0","0","134","118","9"
"4474000","1124","51","181","175","11","2","7","7","945","773","38"
"4475000","1301","73","221","222","13","2","4","4","1068","808","59"
"4476000","1968","301","363","390","27","12","16","18","1099","400","123"
"4477000","1306","63","203","225","12","1","2","2","1015","606","42"
"4478000","1695","127","231","447","8","17","11","9","1250","665","76"
"4479000","1808","265","380","256","17","15","11","10","686","146","266"
"4480000","1354","147","232","327","17","9","18","12","914","495","113"
"4483000","125","9","15","23","0","1","1","1","93","70","14"
"4481000","82","5","6","26","0","0","1","1","46","2","5"
"4482000","4","1","0","0","0","0","0","0","0","0","0"
"4483000","7","2","2","1","0","0","0","0","3","3","0"
