GRD_ID,totalpop_1km,students_1km,mobile_adults_1km,elderly_1km,births_1km,deaths_1km,marriagesM_1km,marriagesF_1km,tert_education_1km,rich_new_1km,poor_new_1km
"4484000","952","76","220","178","15","6","4","5","353","196","58"
"4485000","2231","204","481","478","21","69","14","16","868","317","178"
"4486000","1698","126","351","252","11","10","15","15","538","229","66"
"4488000","54","13","15","3","0","0","0","0","11","1","24"
"4456000","9","0","1","2","0","0","0","0","1","4","0"
"4457000","39","7","14","1","0","0","0","0","24","0","0"
"4458000","38","2","3","6","0","0","0","0","12","6","0"
"4459000","1496","153","230","291","21","7","7","9","565","275","37"
"4460000","95","9","24","11","1","0","0","0","31","9","0"
"4461000","221","12","40","50","2","0","1","1","120","52","14"
"4463000","1578","238","349","254","19","26","12","11","525","66","95"
"4464000","2809","368","600","419","43","39","19","18","771","115","233"
"4465000","4371","588","806","1031","32","34","25","25","1442","452","310"
"4466000","3531","277","555","841","32","39","16","19","1156","469","229"
"4467000","1240","70","211","364","10","9","4","5","542","365","41"
"4469000","512","42","86","126","5","5","3","2","222","96","26"
"4470000","117","18","28","20","1","0","0","0","52","14","9"
"4471000","0","0","0","0","0","0","0","0","0","0","0"
"4472000","244","42","57","24","2","1","3","2","72","30","53"
"4473000","94","6","20","5","2","0","1","1","36","22","0"
"4474000","44","3","9","2","0","2","0","0","14","2","7"
"4475000","891","65","206","105","18","2","4","4","421","196","43"
"4476000","3655","361","694","739","38","32","20","20","1122","386","254"
"4477000","4072","368","832","649","41","32","24","21","1816","643","191"
"4478000","2514","383","559","378","39","16","17","15","1198","287","172"
"4480000","1","1","0","0","0","0","0","0","0","0","1"
"4481000","126","15","37","11","3","1","0","0","66","7","18"
"4482000","0","0","0","0","0","0","0","0","0","0","0"
"4483000","8082","2335","2508","356","142","10","84","81","5098","1216","995"
"4484000","3923","459","830","701","44","35","21","20","1715","591","390"
"4485000","6105","679","1104","1299","52","102","45","43","1578","545","511"
"4486000","4149","438","794","810","49","55","25","26","1330","563","291"
"4487000","5771","932","1009","1217","51","51","24","29","1557","399","522"
"4488000","84","11","14","16","0","1","0","0","22","10","18"
"4458000","1601","181","337","192","8","9","14","15","501","179","92"
"4459000","2891","397","651","495","36","22","24","26","909","215","170"
"4460000","2647","390","534","361","32","33","14","12","487","53","349"
"4461000","710","75","138","129","8","2","3","4","204","84","46"
